"0443649","10,000 BC (2008)"
"1136683","100 Million BC (2008)"
"2518788","1 (2013)"
"1542344","127 Hours (2010)"
"0050083","12 Angry Men (1957)"
"3957956","12 Rounds 3: Lockdown (2015)"
"1436045","13 Assassins (2010)"
"0450385","1408 (2007)"
"0078723","1941 (1979)"
"0087803","1984 (1984)"
"0062622","2001: A Space Odyssey (1968)"
"0264323","2001 Maniacs (2005)"
"0137338","200 Cigarettes (1999)"
"1694508","2010: Moby Dick (2010)"
"1190080","2012 (2009)"
"1132130","2012 Doomsday (2008)"
"1846444","2012: Ice Age (2011)"
"1479847","2012: Supernova (2009)"
"1232829","21 Jump Street (2012)"
"0274309","24 Hour Party People (2002)"
"0988595","27 Dresses (2008)"
"0289043","28 Days Later (2002)"
"0463854","28 Weeks Later (2007)"
"0283090","29 Palms (2002)"
"1602472","2 Days in New York (2012)"
"0115438","2 Days in the Valley (1996)"
"0322259","2 Fast 2 Furious (2003)"
"1272878","2 Guns (2013)"
"2043757","2-Headed Shark Attack (2012)"
"1056026","30,000 Leagues Under the Sea (2007)"
"0416449","300 (2006)"
"1253863","300: Rise of an Empire (2014)"
"0381849","3:10 to Yuma (2007)"
"4882174","37 (2016)"
"0424075","3 Extremes (2004)"
"4685096","3 Headed Shark Attack (2015)"
"1977681","3 Musketeers (2011)"
"0243736","40 Days and 40 Nights (2002)"
"2313757","(500) Days of Summer (2009)"
"1306980","50/50 (2011)"
"0343660","50 First Dates (2004)"
"0298203","8 Mile (2002)"
"0267248","Abandon (2002)"
"0047795","Abbott and Costello Meet the Mummy (1955)"
"1600195","Abduction (2011)"
"1554091","A Better Life (2011)"
"1582465","A Birder's Guide to Everything (2013)"
"2246549","Abraham Lincoln vs. Zombies (2012)"
"1137470","Accidental Love (2015)"
"0043338","Ace in the Hole (1951)"
"0066921","A Clockwork Orange (1971)"
"0072067","Act of Vengeance (2010)"
"6684714","Acts of Violence (2018)"
"0041090","Adam's Rib (1949)"
"6574444","Adaptation (2002)"
"1814621","Admission (2013)"
"1753383","A Dog's Purpose (2017)"
"6306064","Adrift (2018)"
"0086856","Adventures of Buckaroo Banzai (1984)"
"2756412","AE: Apocalypse Earth (2013)"
"0402022","Aeon Flux (2005)"
"0104257","A Few Good Men (1992)"
"0118564","Affliction (1997)"
"0095159","A Fish Called Wanda (1988)"
"0058461","A Fistful of Dollars (1964)"
"0098994","After Dark (1990)"
"1815862","After Earth (2013)"
"0088680","After Hours (1985)"
"5186236","Afterimage (2016)"
"0096769","After Midnight (1989)"
"5294966","After the Storm (2016)"
"0312329","Against the Ropes (2004)"
"0313911","Agent Cody Banks (2003)"
"2518926","Age of Dinosaurs (2013)"
"3677466","Age of Tomorrow (2014)"
"1186830","Agora (2009)"
"0295289","A Guy Thing (2003)"
"5789852","A Haunted House 4 (2016)"
"2216240","A Hijacking (2012)"
"0399146","A History of Violence (2005)"
"0052896","A Hole in the Head (1959)"
"0118571","Air Force One (1997)"
"0080339","Airplane! (1980)"
"0083530","Airplane 2: The Sequel (1982)"
"0437800","Akeelah and the Bee (2006)"
"0049414","A Kiss Before Dying (1956)"
"0183790","A Knight's Tale (2001)"
"0469021","Alan Partridge (2013)"
"1602098","Albert Nobbs (2011)"
"0104694","A League of Their Own (1992)"
"0060086","Alfie (1966)"
"0375173","Alfie (2004)"
"0078748","Alien (1979)"
"8260538","Alien 3 (1992)"
"0118583","Alien: Resurrection (1997)"
"1440161","A Little Bit of Heaven (2011)"
"2639254","A Little Chaos (2014)"
"0113670","A Little Princess (1995)"
"0042192","All About Eve (1950)"
"1219671","Allan Quatermain and the Temple of Skulls (2008)"
"0096787","All Dogs Go to Heaven (1989)"
"3892618","Alleluia! The Devil's Carnival (2015)"
"1175709","All Good Things (2010)"
"2017038","All Is Lost (2013)"
"0101301","All I Want for Christmas (1991)"
"0086873","All of Me (1984)"
"0250202","All Over the Guy (2001)"
"0020629","All Quiet on the Western Front (1930)"
"0074119","All the President's Men (1976)"
"1792794","Almighty Thor (2011)"
"4649416","Almost Christmas (2017)"
"0181875","Almost Famous (2000)"
"0164334","Along Came a Spider (2001)"
"0369672","A Love Song for Bobby Long (2004)"
"1213012","Alpha and Omega (2010)"
"0952640","Alvin and the Chipmunks (2007)"
"11045898","American Atheists (2019)"
"0169547","American Beauty (1999)"
"0088707","American Flyers (1985)"
"0765429","American Gangster (2007)"
"0080365","American Gigolo (1980)"
"2923316","American Heist (2014)"
"3532216","American Made (2017)"
"8385334","American Made (2018)"
"0436058","American Pie Presents Band Camp (2005)"
"0974959","American Pie Presents Beta House (2007)"
"0144084","American Psycho (2000)"
"1605630","American Reunion (2012)"
"0486259","American Teen (2008)"
"3316948","American Ultra (2015)"
"2175927","American Warships (2012)"
"0829459","A Mighty Heart (2007)"
"0310281","A Mighty Wind (2003)"
"2557490","A Million Ways to Die in the West (2014)"
"0118607","Amistad (1997)"
"0083550","Amityville II: The Possession (1982)"
"7541116","Amnesia (2017)"
"0245712","Amores perros (2000)"
"1972571","A Most Wanted Man (2014)"
"0118615","Anaconda (1997)"
"0078757","An Almost Perfect Affair (1979)"
"0429573","An American Haunting (2005)"
"0221799","An American Rhapsody (2001)"
"0082010","An American Werewolf in London (1981)"
"0118617","Anastasia (1997)"
"1229340","Anchorman 2: The Legend Continues (2013)"
"0357413","Anchorman: The Legend of Ron Burgundy (2004)"
"0107492","And God Spoke (1993)"
"0109120","Andre (1994)"
"3393070","Android Cop (2014)"
"0218182","An Everlasting Piece (2000)"
"0145653","Angela's Ashes (1999)"
"0092563","Angel Heart (1987)"
"0808151","Angels & Demons (2009)"
"1833888","Angels Sing (2013)"
"0305224","Anger Management (2003)"
"5751564","Angry Birds (2016)"
"0122541","An Ideal Husband (1999)"
"9072838","Animal House (1978)"
"3322940","Annabelle (2014)"
"0075686","Annie Hall (1977)"
"0099044","Another 48 Hrs. (1990)"
"3891338","Another Kind of Wedding (2018)"
"0119576","Another Nine & a Half Weeks (1997)"
"6206790","Another Time (1958)"
"0168786","Antwone Fisher (2002)"
"1757742","Apartment 143 (2011)"
"0120787","A Perfect Murder (1998)"
"0078788","Apocalypse Now (1979)"
"3384904","Apocalypse Pompeii (2014)"
"0112384","Apollo 13 (1995)"
"4660736","Apprentice (2016)"
"0344604","Après vous... (2003)"
"1764183","Arbitrage (2012)"
"0488508","Arctic Tale (2007)"
"1519461","Area 51 (2015)"
"1024648","Argo (2012)"
"0105265","A River Runs Through It (1992)"
"0106308","Army of Darkness (1993)"
"1276419","A Royal Affair (2012)"
"0036613","Arsenic and Old Lace (1944)"
"0094678","Arthur 2: On the Rocks (1988)"
"1430607","Arthur Christmas (2011)"
"0101371","Article 99 (1992)"
"2870612","As Above, So Below (2014)"
"0427454","A Series of Unfortunate Events (2004)"
"0119822","As Good as It Gets (1997)"
"0058586","A Shot in the Dark (1964)"
"1807944","As I Lay Dying (2013)"
"0120324","A Simple Plan (1998)"
"1315981","A Single Man (2009)"
"0384814","Ask the Dust (2006)"
"0162662","A Slipping-Down Life (1999)"
"0120151","A Smile Like Yours (1997)"
"0283897","Assassination Tango (2002)"
"3453772","Asteroid vs. Earth (2014)"
"0044081","A Streetcar Named Desire (1951)"
"0375568","Astro Boy (2009)"
"0348505","Asylum (2005)"
"0080388","Atlantic City (1980)"
"6994198","Atlantic Rim (2013)"
"2406566","Atomic Blonde (2017)"
"3184096","Attila (2013)"
"0455824","Australia (2008)"
"0443435","Autopsy (2008)"
"2395427","Avengers: Age of Ultron (2015)"
"4296026","Avengers Grimm (2015)"
"0118073","A Very Brady Sequel (1996)"
"0344510","A Very Long Engagement (2004)"
"1094162","AVH: Alien vs. Hunter (2007)"
"0090264","A View to a Kill (1985)"
"1869850","AVP: Alien vs. Predator (2004)"
"0099077","Awakenings (1990)"
"0365907","A Walk Among the Tombstones (2014)"
"0114887","A Walk in the Clouds (1995)"
"0491747","Away from Her (2006)"
"0449467","Babel (2006)"
"3890160","Baby Driver (2017)"
"1920849","Bachelorette (2012)"
"0090685","Back to School (1986)"
"0088763","Back to the Future (1985)"
"0096874","Back to the Future Part 2 (1989)"
"0096874","Back to the Future Part 3 (1990)"
"0233277","Back to the Secret Garden (2002)"
"0112442","Bad Boys (1995)"
"0172156","Bad Boys II (2003)"
"0068245","Bad Company (1972)"
"0103759","Bad Lieutenant (1992)"
"6094944","Bad Lucky Goat (2017)"
"9869346","Bad Milo! (2013)"
"0408524","Bad News Bears (2005)"
"0075718","Bad News Bears 2 (1977)"
"3482062","Bad Roomies (2015)"
"1284575","Bad Teacher (2011)"
"2170299","Bad Words (2013)"
"2937254","Balls Out (2014)"
"0976222","Bandslam (2009)"
"0814022","Bangkok Dangerous (2008)"
"0303714","Barbershop (2002)"
"0337579","Barbershop 2 (2004)"
"3628584","Barbershop: The Next Cut (2016)"
"0061385","Barefoot in the Park (1967)"
"0269743","Barking Dogs Never Bite (2000)"
"0414853","Barnyard (2006)"
"0101410","Barton Fink (1991)"
"0430912","Basic Instinct 2 (2006)"
"0096895","Batman (1989)"
"0372784","Batman Begins (2005)"
"0112462","Batman Forever (1995)"
"0106364","Batman: Mask of the Phantasm (1993)"
"0103776","Batman Returns (1992)"
"2975590","Batman v Superman: Dawn of Justice (2016)"
"2457138","Battledogs (2013)"
"2359006","Battle: Los Angeles (2011)"
"1758570","Battle of Los Angeles (2011)"
"4622512","Battle of the Sexes (2017)"
"1440129","Battleship (2012)"
"1469304","Baywatch (2017)"
"0118689","Bean (1997)"
"0086946","Beat Street (1984)"
"0388500","Beauty Shop (2005)"
"0377471","Be Cool (2005)"
"0094721","Beetlejuice (1988)"
"0381681","Before Sunset (2004)"
"0292963","Before the Devil Knows You're Dead (2007)"
"0870195","Before the Rains (2007)"
"0159273","Behind Enemy Lines (2001)"
"0106379","Being Human (1994)"
"1440732","Bel Ami (2012)"
"0482463","Bella (2006)"
"0158493","Belly (1998)"
"0286499","Bend It Like Beckham (2002)"
"0052618","Ben-Hur (1959)"
"0106387","Benny & Joon (1993)"
"0120604","Beowulf (1999)"
"0442933","Beowulf (2007)"
"3307726","Bermuda Tentacles (2014)"
"1704573","Bernie (2011)"
"0218839","Best in Show (2000)"
"0086960","Beverly Hills Cop 3 (1994)"
"0118708","Beverly Hills Ninja (1997)"
"0374536","Bewitched (2005)"
"0294357","Beyond Borders (2003)"
"0363473","Beyond the Sea (2004)"
"0065466","Beyond the Valley of the Dolls (1970)"
"0279688","Beyond the Wall of Sleep (2006)"
"0094737","Big (1988)"
"0142342","Big Daddy (1999)"
"0319061","Big Fish (2003)"
"1876261","Bigfoot (2012)"
"2108605","Bigfoot County (2012)"
"0997147","Big Man Japan (2007)"
"0208003","Big Momma's House (2000)"
"0421729","Big Momma's House 2 (2006)"
"0115678","Big Night (1996)"
"0090728","Big Trouble in Little China (1986)"
"0077235","Big Wednesday (1978)"
"0326769","Biker Boyz (2003)"
"0101452","Bill & Ted's Bogus Journey (1991)"
"2513074","Billy Lynn's Long Halftime Walk (2016)"
"0112508","Billy Madison (1995)"
"0055798","Birdman of Alcatraz (1962)"
"7296984","Birth of the Dragon (2017)"
"0109279","Black Beauty (1994)"
"1181791","Black Death (2010)"
"2717822","Blackhat (2014)"
"1825683","Black Panther (2018)"
"0096933","Black Rain (1989)"
"0075765","Black Sunday (1977)"
"0947798","Black Swan (2010)"
"1629705","Blackthorn (2011)"
"0068284","Blacula (1972)"
"5084170","Blade of the Immortal (2017)"
"0083658","Blade Runner (1982)"
"1856101","Blade Runner 2049 (2017)"
"0445934","Blades of Glory (2007)"
"0229260","Blair Witch 2 (2000)"
"0071230","Blazing Saddles (1974)"
"0997143","Bled (2009)"
"0163983","Bless the Child (2000)"
"1297919","Blitz (2011)"
"0450336","Blood Creek (2009)"
"0086979","Blood Simple (1984)"
"0092675","Bloodsport (1988)"
"1747958","Blood Ties (2013)"
"0109305","Blue Chips (1994)"
"1120985","Blue Valentine (2010)"
"0090756","Blue Velvet (1986)"
"5022872","Blush (2015)"
"0758774","Body of Lies (2008)"
"0106452","Body Snatchers (1991)"
"0106452","Body Snatchers (1992)"
"2494362","Bone Tomahawk (2015)"
"0061418","Bonnie and Clyde (1967)"
"0357507","Boogeyman (2005)"
"0103859","Boomerang (1992)"
"0118750","Booty Call (1997)"
"0115734","Bottle Rocket (1996)"
"0186894","Bounce (2000)"
"0310793","Bowling for Columbine (2002)"
"0068309","Boxcar Bertha (1972)"
"0115738","Box of Moonlight (1996)"
"0101507","Boyz n the Hood (1991)"
"0103874","Bram Stoker's Dracula (1992)"
"0804452","Bratz (2007)"
"0112573","Braveheart (1995)"
"0054698","Breakfast at Tiffany's (1961)"
"0086998","Breakin' (1984)"
"0086999","Breakin' 2: Electric Boogaloo (1984)"
"0078902","Breaking Away (1979)"
"0088850","Brewster's Millions (1985)"
"0144120","Bride of Chucky (1998)"
"0099180","Bride of Re-Animator (1989)"
"1478338","Bridesmaids (2011)"
"0901476","Bride Wars (2009)"
"0163988","Bringing Out the Dead (1999)"
"0029947","Bringing Up Baby (1938)"
"0092699","Broadcast News (1987)"
"0120620","Brokedown Palace (1999)"
"0115759","Broken Arrow (1996)"
"1172570","Bronson (2008)"
"0765010","Brothers (2009)"
"0297037","Brown Sugar (2002)"
"0186508","Buena Vista Social Club (1999)"
"0252299","Buffalo Soldiers (2001)"
"0470705","Bug (2006)"
"0094812","Bull Durham (1988)"
"0062765","Bullitt (1968)"
"1682181","Bully (2011)"
"0118798","Bulworth (1998)"
"1462758","Buried (2010)"
"1811307","Burning Blue (2013)"
"0064115","Butch Cassidy and the Sundance Kid (1969)"
"0179116","But I'm a Cheerleader (1999)"
"3707106","By the Sea (2015)"
"0303816","Cabin Fever (2002)"
"0961722","Cabin Fever 2: Spring Fever (2009)"
"0099204","Cadillac Man (1990)"
"0413879","Cake (2005)"
"0109370","Canadian Bacon (1995)"
"0127723","Can't Hardly Wait (1998)"
"0101540","Cape Fear (1991)"
"0379725","Capote (2005)"
"0077294","Capricorn One (1978)"
"3498820","Captain America: Civil War (2016)"
"1535109","Captain Phillips (2013)"
"0374563","Captivity (2007)"
"0074285","Carrie (1976)"
"2989524","Carrie Pilby (2017)"
"0034583","Casablanca (1942)"
"0795351","Case 39 (2009)"
"0460740","Cashback (2006)"
"0112641","Casino (1995)"
"0061452","Casino Royale (1967)"
"0381061","Casino Royale (2006)"
"0112642","Casper (1995)"
"0795493","Cassandra's Dream (2007)"
"0162222","Cast Away (2000)"
"0065528","Catch-22 (1970)"
"0264464","Catch Me If You Can (2002)"
"0034587","Cat People (1942)"
"0239395","Cats & Dogs (2001)"
"0173716","Cecil B. DeMented (2000)"
"1020558","Centurion (2010)"
"1341341","Ceremony (2010)"
"1621046","Cesar Chavez (2014)"
"0115857","Chain Reaction (1996)"
"0264472","Changing Lanes (2002)"
"1823672","Chappie (2015)"
"0423977","Charlie Bartlett (2007)"
"1196948","Charlie Countryman (2013)"
"0160127","Charlie's Angels (2000)"
"0305357","Charlie's Angels: Full Throttle (2003)"
"1438254","Charlie st. Cloud (2010)"
"0245046","Charlotte Gray (2001)"
"0413895","Charlotte's Web (2006)"
"0349205","Cheaper by the Dozen (2003)"
"0452598","Cheaper by the Dozen 2 (2005)"
"0226935","Chelsea Walls (2001)"
"1014763","Child 44 (2015)"
"0090830","Children of a Lesser God (1986)"
"0118849","Children of Heaven (1997)"
"0206634","Children of Men (2006)"
"0094862","Child's Play (1988)"
"0693394","Child's Play (1998)"
"0099253","Child's Play 2 (1990)"
"0103956","Child's Play 3 (1991)"
"0062803","Chitty Chitty Bang Bang (1968)"
"0241303","Chocolat (2000)"
"1183252","Chocolate (2008)"
"0090837","Chopping Mall (1986)"
"0085333","Christine (1983)"
"4666726","Christine (2016)"
"1706593","Chronicle (2012)"
"1610525","Chuck (2016)"
"0200530","Chuck & Buck (2000)"
"2586394","Cinco de Mayo (2013)"
"0095765","Cinema Paradiso (1988)"
"0033467","Citizen Kane (1941)"
"0317248","City of God (2002)"
"0101587","City Slickers (1991)"
"2456594","Clash of the Empires (2012)"
"0800320","Clash of the Titans (2010)"
"0085346","Class (1983)"
"0109445","Clerks (1994)"
"0424345","Clerks II (2006)"
"0389860","Click (2006)"
"0157472","Clockstoppers (2002)"
"0075860","Close Encounters of the Third Kind (1977)"
"0376541","Closer (2004)"
"0844471","Cloudy with a Chance of Meatballs (2009)"
"1985966","Cloudy with a Chance of Meatballs 2 (2013)"
"3038734","Club Life (2015)"
"0090856","Club Paradise (1986)"
"0088930","Clue (1985)"
"0112697","Clueless (1995)"
"0393162","Coach Carter (2005)"
"1540115","Coal Rush (2012)"
"2380307","Coco (2017)"
"4335520","CODE: Debugging the Gender Gap (2015)"
"0069897","Coffy (1973)"
"0159365","Cold Mountain (2003)"
"0369339","Collateral (2004)"
"0094894","Colors (1988)"
"0044509","Come Back (1952)"
"0088944","Commando (1985)"
"1971352","Compliance (2012)"
"0082198","Conan the Barbarian (1982)"
"0816462","Conan the Barbarian (2011)"
"0087078","Conan the Destroyer (1984)"
"3322364","Concussion (2015)"
"3773378","Conduct! Every Move Counts (2016)"
"0112715","Congo (1995)"
"7518466","Conor McGregor: Notorious (2017)"
"0421082","Control (2007)"
"0391024","Control Room (2004)"
"2490326","Cooties (2014)"
"0118887","Cop Land (1997)"
"1252631","Copycat (2008)"
"0327597","Coraline (2009)"
"4872162","Countdown (2016)"
"0479884","Crank (2006)"
"1121931","Crank 2: High Voltage (2009)"
"0375679","Crash (2004)"
"0470993","Crazy Eights (2006)"
"1263670","Crazy Heart (2009)"
"0088960","Creator (1985)"
"3076658","Creed (2015)"
"2554274","Crimson Peak (2015)"
"0090555","Crocodile Dundee (1986)"
"0094921","Crossing Delancey (1988)"
"0115985","Crossworlds (1997)"
"0190332","Crouching Tiger, Hidden Dragon (2000)"
"0139134","Cruel Intentions (1999)"
"2093977","Crush (2013)"
"0099329","Cry-Baby (1990)"
"0123755","Cube (1997)"
"0085382","Cujo (1983)"
"3280262","Cult of Chucky (2017)"
"0101635","Curly Sue (1991)"
"0257516","Cursed (2005)"
"2230358","Curse of Chucky (2013)"
"0085384","Curse of the Pink Panther (1983)"
"0097138","Cyborg (1989)"
"3093522","Cymbeline (2014)"
"1528854","Daddy's Home (2015)"
"0790636","Dallas Buyers Club (2013)"
"1153706","Dance Flick (2009)"
"0099348","Dances with Wolves (1990)"
"0217355","Dancing at the Blue Iguana (2000)"
"0118928","Dante's Peak (1997)"
"4555426","Darkest Hour (2017)"
"0889181","Dark Fields (2006)"
"0985025","Dark Floors (2008)"
"0273517","Darkness (2002)"
"1878942","Date and Switch (2014)"
"1279935","Date Night (2010)"
"0106673","Dave (1993)"
"0363547","Dawn of the Dead (2004)"
"2131963","Daybreakers (2010)"
"0070460","Day for Night (1973)"
"0103873","Dead Alive (1992)"
"0112818","Dead Man Walking (1995)"
"1431045","Deadpool (2016)"
"5463162","Deadpool 2 (2018)"
"0092850","Deadtime Stories (2009)"
"0092850","Deadtime Stories 2 (2011)"
"1043791","Dead Wood (2007)"
"2235108","Dear White People (2014)"
"1028528","Death Proof (2007)"
"0452608","Death Race (2008)"
"1261046","Death Racers (2008)"
"0286306","Deathwatch (2002)"
"1137450","Death Wish (2018)"
"0149261","Deep Blue Sea (1999)"
"0101698","Defending Your Life (1991)"
"0337972","Defiance (2002)"
"1034303","Defiance (2008)"
"0101701","Delirious (1991)"
"0068473","Deliverance (1972)"
"0814075","Deliver Us from Evil (2006)"
"2377322","Deliver Us From Evil (2014)"
"0352277","De-Lovely (2004)"
"0800003","Delta Farce (2007)"
"0099399","Delta Force 2 (1990)"
"0106701","Dennis the Menace (1993)"
"0112851","Desperado (1995)"
"0089017","Desperately Seeking Susan (1985)"
"1323594","Despicable Me (2010)"
"1690953","Despicable Me 2 (2013)"
"3469046","Despicable Me 3 (2017)"
"0367652","Deuce Bigalow: European Gigolo (2005)"
"0046912","Dial M for Murder (1954)"
"0066995","Diamonds Are Forever (1971)"
"1196141","Diary of a Wimpy Kid (2010)"
"1650043","Diary of a Wimpy Kid: Rodrick Rules (2011)"
"0848557","Diary of the Dead (2007)"
"0246460","Die Another Day (2002)"
"0095016","Die Hard (1988)"
"0099423","Die Hard 2 (1990)"
"0112864","Die Hard: With a Vengeance (1995)"
"0104107","Diggstown (1992)"
"0069976","Dillinger (1973)"
"1182609","Direct Contact (2009)"
"0092890","Dirty Dancing (1987)"
"0066999","Dirty Harry (1971)"
"0095031","Dirty Rotten Scoundrels (1988)"
"0120654","Dirty Work (1998)"
"1213644","Disaster Movie (2008)"
"6108178","Disobedience (2017)"
"1247640","District 13: Ultimatum (2009)"
"1136608","District 9 (2009)"
"0414852","District B13 (2004)"
"0486822","Disturbia (2007)"
"1840309","Divergent (2014)"
"0101745","Doc Hollywood (1991)"
"1211837","Doctor Strange (2016)"
"0059113","Doctor Zhivago (1965)"
"0364725","Dodgeball: A True Underdog Story (2004)"
"0072890","Dog Day Afternoon (1975)"
"0276919","Dogville (2003)"
"0249478","Domestic Disturbance (2001)"
"0988849","Donkey Punch (2008)"
"0119008","Donnie Brasco (1997)"
"1270761","Don't Be Afraid of the Dark (2010)"
"0116126","Don't Be a Menace (1996)"
"4160708","Don't Breathe (2016)"
"3534282","Don Verdean (2015)"
"0419706","Doom (2005)"
"0483607","Doomsday (2008)"
"3850214","Dope (2015)"
"0101764","Double Impact (1991)"
"0150377","Double Jeopardy (1999)"
"0186975","Down to You (2000)"
"0079073","Dracula (1979)"
"0219653","Dracula 2000 (2000)"
"0829150","Dracula Untold (2014)"
"2223990","Draft Day (2014)"
"3672840","Dragon Blade (2015)"
"1999141","Dragon Crusaders (2011)"
"1353997","Dragonquest (2009)"
"1331307","Dread (2009)"
"0097236","Dream a Little Dream (1989)"
"0487897","Dreamer (2005)"
"0443489","Dreamgirls (2006)"
"1343727","Dredd (2012)"
"0080661","Dressed to Kill (1980)"
"0059124","Dr. Goldfoot and the Bikini Machine (1965)"
"2573378","Drift (2012)"
"0817538","Drillbit Taylor (2008)"
"2265398","Drinking Buddies (2013)"
"0780504","Drive (2011)"
"1502404","Drive Angry (2011)"
"0164114","Drive Me Crazy (1999)"
"0097239","Driving Miss Daisy (1989)"
"0055928","Dr. No (1962)"
"0397401","Drop Dead Sexy (2005)"
"0109676","Drop Zone (1994)"
"2319314","Dr. Seuss' the Lorax (2012)"
"1740348","Dr. Strangelove (1964)"
"0486857","Dr. T and the Women (2000)"
"0097240","Drugstore Cowboy (1989)"
"0303933","Drumline (2002)"
"0242423","Dude (2000)"
"2096672","Dumb and Dumber To (2014)"
"0472458","Dumplings (2004)"
"0087182","Dune (1984)"
"5013056","Dunkirk (2017)"
"0266489","Duplex (2003)"
"1274586","Dying of the Light (2014)"
"0097257","Earth Girls Are Easy (1988)"
"0048028","East of Eden (1955)"
"1282140","Easy A (2010)"
"0064276","Easy Rider (1969)"
"0879870","Eat Pray Love (2010)"
"0099487","Edward Scissorhands (1990)"
"0271263","Eight Crazy Nights (2002)"
"0095082","Eight Men Out (1988)"
"0357277","Elektra (2005)"
"1578882","Elephant White (2011)"
"0319343","Elf (2003)"
"0327679","Ella Enchanted (2004)"
"0104815","El Mariachi (1992)"
"1535108","Elysium (2013)"
"2103264","Emperor (2012)"
"0424993","Employee of the Month (2006)"
"1731141","Ender's Game (2013)"
"2318092","Endless Love (2014)"
"1855199","End Of Watch (2012)"
"2395199","Enemies Closer (2013)"
"0215750","Enemy at the Gates (2001)"
"1016268","Enron: The Smartest Guys in the Room (2005)"
"0070034","Enter the Dragon (1973)"
"0082332","Enter the Ninja (1981)"
"0326856","Envy (2004)"
"0848537","Epic (2013)"
"3250590","Equal Means Equal (2014)"
"0238380","Equilibrium (2002)"
"0449010","Eragon (2006)"
"1211956","Escape Plan (2013)"
"0308201","E.T.: The Extra-Terrestrial (1982)"
"2051879","Europa Report (2013)"
"0120631","Ever After (1998)"
"2719848","Everest (2015)"
"0209037","Everybody's Famous! (2000)"
"3605266","Everything Beautiful Is Far Away (2017)"
"5001718","Everything, Everything (2017)"
"1531663","Everything Must Go (2010)"
"0119080","Eve's Bayou (1997)"
"1288558","Evil Dead (2013)"
